"Step","fp6_e2m3_fp6_e3m2 - optim/total_grad_norm","fp6_e2m3_fp6_e3m2 - optim/total_grad_norm__MIN","fp6_e2m3_fp6_e3m2 - optim/total_grad_norm__MAX"
"100","0.4314126968383789","0.4314126968383789","0.4314126968383789"
"200","0.6294887065887451","0.6294887065887451","0.6294887065887451"
"300","0.958271324634552","0.958271324634552","0.958271324634552"
"400","1.596014380455017","1.596014380455017","1.596014380455017"
"500","1.7418322563171387","1.7418322563171387","1.7418322563171387"
"600","2.075343370437622","2.075343370437622","2.075343370437622"
"700","1.2275177240371704","1.2275177240371704","1.2275177240371704"
"800","1.7831101417541504","1.7831101417541504","1.7831101417541504"
"900","1.1872336864471436","1.1872336864471436","1.1872336864471436"
"1000","1.5357060432434082","1.5357060432434082","1.5357060432434082"
"1100","1.3674871921539307","1.3674871921539307","1.3674871921539307"
"1200","1.2499146461486816","1.2499146461486816","1.2499146461486816"
"1300","1.2873388528823853","1.2873388528823853","1.2873388528823853"
"1400","1.2292766571044922","1.2292766571044922","1.2292766571044922"
"1500","1.0335460901260376","1.0335460901260376","1.0335460901260376"
"1600","1.197560429573059","1.197560429573059","1.197560429573059"
"1700","1.0758721828460693","1.0758721828460693","1.0758721828460693"
"1800","0.9886691570281982","0.9886691570281982","0.9886691570281982"
"1900","0.9100205898284912","0.9100205898284912","0.9100205898284912"
"2000","1.0306251049041748","1.0306251049041748","1.0306251049041748"
"2100","0.9545129537582397","0.9545129537582397","0.9545129537582397"
"2200","0.9825665950775146","0.9825665950775146","0.9825665950775146"
"2300","0.6901805996894836","0.6901805996894836","0.6901805996894836"
"2400","0.6507648229598999","0.6507648229598999","0.6507648229598999"
"2500","0.5664158463478088","0.5664158463478088","0.5664158463478088"
"2600","0.758976399898529","0.758976399898529","0.758976399898529"
"2700","0.6082122921943665","0.6082122921943665","0.6082122921943665"
"2800","0.6010458469390869","0.6010458469390869","0.6010458469390869"
"2900","0.4895995855331421","0.4895995855331421","0.4895995855331421"
"3000","0.46504706144332886","0.46504706144332886","0.46504706144332886"
"3100","0.4038945138454437","0.4038945138454437","0.4038945138454437"
"3200","0.49750709533691406","0.49750709533691406","0.49750709533691406"
"3300","0.34136900305747986","0.34136900305747986","0.34136900305747986"
"3400","0.45873451232910156","0.45873451232910156","0.45873451232910156"
"3500","0.37393590807914734","0.37393590807914734","0.37393590807914734"
"3600","0.41514888405799866","0.41514888405799866","0.41514888405799866"
"3700","0.3549530506134033","0.3549530506134033","0.3549530506134033"
"3800","0.3471148610115051","0.3471148610115051","0.3471148610115051"
"3900","0.3819601535797119","0.3819601535797119","0.3819601535797119"
"4000","0.3448199927806854","0.3448199927806854","0.3448199927806854"
"4100","0.3257446885108948","0.3257446885108948","0.3257446885108948"
"4200","0.29784277081489563","0.29784277081489563","0.29784277081489563"
"4300","0.3338375687599182","0.3338375687599182","0.3338375687599182"
"4400","0.35255861282348633","0.35255861282348633","0.35255861282348633"
"4500","0.33693745732307434","0.33693745732307434","0.33693745732307434"
"4600","0.3003040552139282","0.3003040552139282","0.3003040552139282"
"4700","0.30318912863731384","0.30318912863731384","0.30318912863731384"
"4800","0.2701355516910553","0.2701355516910553","0.2701355516910553"
"4900","0.3142967224121094","0.3142967224121094","0.3142967224121094"
"5000","0.30876830220222473","0.30876830220222473","0.30876830220222473"
"5100","0.29507681727409363","0.29507681727409363","0.29507681727409363"
"5200","0.2641811966896057","0.2641811966896057","0.2641811966896057"
"5300","0.25132933259010315","0.25132933259010315","0.25132933259010315"
"5400","0.25491708517074585","0.25491708517074585","0.25491708517074585"
"5500","0.2848265469074249","0.2848265469074249","0.2848265469074249"
"5600","0.2845599949359894","0.2845599949359894","0.2845599949359894"
"5700","0.2661289870738983","0.2661289870738983","0.2661289870738983"
"5800","0.2254343032836914","0.2254343032836914","0.2254343032836914"
"5900","0.28834930062294006","0.28834930062294006","0.28834930062294006"
"6000","0.2529588043689728","0.2529588043689728","0.2529588043689728"
"6100","0.23425793647766113","0.23425793647766113","0.23425793647766113"
"6200","0.251992404460907","0.251992404460907","0.251992404460907"
"6300","0.23025421798229218","0.23025421798229218","0.23025421798229218"
"6400","0.3164292573928833","0.3164292573928833","0.3164292573928833"
"6500","0.23173460364341736","0.23173460364341736","0.23173460364341736"
"6600","0.2861834168434143","0.2861834168434143","0.2861834168434143"
"6700","0.2440161108970642","0.2440161108970642","0.2440161108970642"
"6800","0.3029007613658905","0.3029007613658905","0.3029007613658905"
"6900","0.26631423830986023","0.26631423830986023","0.26631423830986023"
"7000","0.23620249330997467","0.23620249330997467","0.23620249330997467"
"7100","0.28468450903892517","0.28468450903892517","0.28468450903892517"
"7200","0.2577859163284302","0.2577859163284302","0.2577859163284302"
"7300","0.2998068630695343","0.2998068630695343","0.2998068630695343"
"7400","0.37394803762435913","0.37394803762435913","0.37394803762435913"
"7500","0.2968536913394928","0.2968536913394928","0.2968536913394928"
"7600","0.34269723296165466","0.34269723296165466","0.34269723296165466"
"7700","0.24124231934547424","0.24124231934547424","0.24124231934547424"
"7800","0.2981037497520447","0.2981037497520447","0.2981037497520447"
"7900","0.23504047095775604","0.23504047095775604","0.23504047095775604"
"8000","0.2644244432449341","0.2644244432449341","0.2644244432449341"
"8100","0.29825639724731445","0.29825639724731445","0.29825639724731445"
"8200","0.2670373022556305","0.2670373022556305","0.2670373022556305"
"8300","0.27095866203308105","0.27095866203308105","0.27095866203308105"
"8400","0.2716854512691498","0.2716854512691498","0.2716854512691498"
"8500","0.30029526352882385","0.30029526352882385","0.30029526352882385"
"8600","0.26065951585769653","0.26065951585769653","0.26065951585769653"
"8700","0.2815229296684265","0.2815229296684265","0.2815229296684265"
