"Step","fp6_e2m3_fp6_e3m2 - optim/total_grad_norm","fp6_e2m3_fp6_e3m2 - optim/total_grad_norm__MIN","fp6_e2m3_fp6_e3m2 - optim/total_grad_norm__MAX"
"100","0.46583494544029236","0.46583494544029236","0.46583494544029236"
"200","0.5429191589355469","0.5429191589355469","0.5429191589355469"
"300","1.0347498655319214","1.0347498655319214","1.0347498655319214"
"400","1.2039517164230347","1.2039517164230347","1.2039517164230347"
"500","1.3402972221374512","1.3402972221374512","1.3402972221374512"
"600","1.7319424152374268","1.7319424152374268","1.7319424152374268"
"700","1.80844247341156","1.80844247341156","1.80844247341156"
"800","2.0983548164367676","2.0983548164367676","2.0983548164367676"
"900","2.7442970275878906","2.7442970275878906","2.7442970275878906"
"1000","2.551941394805908","2.551941394805908","2.551941394805908"
"1100","1.8588505983352661","1.8588505983352661","1.8588505983352661"
"1200","1.4223312139511108","1.4223312139511108","1.4223312139511108"
"1300","3.927635669708252","3.927635669708252","3.927635669708252"
"1400","2.1066396236419678","2.1066396236419678","2.1066396236419678"
"1500","1.8098798990249634","1.8098798990249634","1.8098798990249634"
"1600","1.6357605457305908","1.6357605457305908","1.6357605457305908"
"1700","1.870044231414795","1.870044231414795","1.870044231414795"
"1800","1.782387137413025","1.782387137413025","1.782387137413025"
"1900","2.0780394077301025","2.0780394077301025","2.0780394077301025"
"2000","2.3564987182617188","2.3564987182617188","2.3564987182617188"
"2100","1.5256084203720093","1.5256084203720093","1.5256084203720093"
"2200","2.0531904697418213","2.0531904697418213","2.0531904697418213"
"2300","1.7570531368255615","1.7570531368255615","1.7570531368255615"
"2400","1.572425127029419","1.572425127029419","1.572425127029419"
"2500","1.6684565544128418","1.6684565544128418","1.6684565544128418"
"2600","1.437853217124939","1.437853217124939","1.437853217124939"
"2700","1.945662021636963","1.945662021636963","1.945662021636963"
"2800","1.573512315750122","1.573512315750122","1.573512315750122"
"2900","1.3843748569488525","1.3843748569488525","1.3843748569488525"
"3000","1.211050271987915","1.211050271987915","1.211050271987915"
"3100","1.584281086921692","1.584281086921692","1.584281086921692"
"3200","1.437148928642273","1.437148928642273","1.437148928642273"
"3300","1.3723962306976318","1.3723962306976318","1.3723962306976318"
"3400","1.2713171243667603","1.2713171243667603","1.2713171243667603"
"3500","1.0582534074783325","1.0582534074783325","1.0582534074783325"
"3600","1.2304513454437256","1.2304513454437256","1.2304513454437256"
"3700","1.2110354900360107","1.2110354900360107","1.2110354900360107"
"3800","1.022598147392273","1.022598147392273","1.022598147392273"
"3900","1.1201835870742798","1.1201835870742798","1.1201835870742798"
"4000","0.9702157974243164","0.9702157974243164","0.9702157974243164"
"4100","1.1089720726013184","1.1089720726013184","1.1089720726013184"
"4200","0.9120703339576721","0.9120703339576721","0.9120703339576721"
"4300","1.0250394344329834","1.0250394344329834","1.0250394344329834"
"4400","1.038280725479126","1.038280725479126","1.038280725479126"
"4500","1.317887783050537","1.317887783050537","1.317887783050537"
"4600","0.9158221483230591","0.9158221483230591","0.9158221483230591"
"4700","0.9445791244506836","0.9445791244506836","0.9445791244506836"
"4800","0.9103606343269348","0.9103606343269348","0.9103606343269348"
"4900","0.8526451587677002","0.8526451587677002","0.8526451587677002"
"5000","0.8448591828346252","0.8448591828346252","0.8448591828346252"
"5100","0.7690550088882446","0.7690550088882446","0.7690550088882446"
"5200","0.8428833484649658","0.8428833484649658","0.8428833484649658"
"5300","0.7441022396087646","0.7441022396087646","0.7441022396087646"
"5400","0.8666258454322815","0.8666258454322815","0.8666258454322815"
"5500","0.886273205280304","0.886273205280304","0.886273205280304"
"5600","0.7194721698760986","0.7194721698760986","0.7194721698760986"
"5700","0.7934802174568176","0.7934802174568176","0.7934802174568176"
"5800","0.703147828578949","0.703147828578949","0.703147828578949"
"5900","0.6397338509559631","0.6397338509559631","0.6397338509559631"
"6000","0.7220048904418945","0.7220048904418945","0.7220048904418945"
"6100","0.638294517993927","0.638294517993927","0.638294517993927"
"6200","0.6407135725021362","0.6407135725021362","0.6407135725021362"
