"Step","fp6_e2m3_fp6_e2m3 - optim/total_grad_norm","fp6_e2m3_fp6_e2m3 - optim/total_grad_norm__MIN","fp6_e2m3_fp6_e2m3 - optim/total_grad_norm__MAX"
"100","0.3905985355377197","0.3905985355377197","0.3905985355377197"
"200","0.4017164409160614","0.4017164409160614","0.4017164409160614"
"300","0.7359533905982971","0.7359533905982971","0.7359533905982971"
"400","1.0332491397857666","1.0332491397857666","1.0332491397857666"
"500","1.2591582536697388","1.2591582536697388","1.2591582536697388"
"600","1.0808968544006348","1.0808968544006348","1.0808968544006348"
"700","1.8286643028259277","1.8286643028259277","1.8286643028259277"
"800","2.236621618270874","2.236621618270874","2.236621618270874"
"900","1.5330116748809814","1.5330116748809814","1.5330116748809814"
"1000","2.4006845951080322","2.4006845951080322","2.4006845951080322"
"1100","2.786139726638794","2.786139726638794","2.786139726638794"
"1200","2.1547372341156006","2.1547372341156006","2.1547372341156006"
"1300","2.9876902103424072","2.9876902103424072","2.9876902103424072"
"1400","2.4831655025482178","2.4831655025482178","2.4831655025482178"
"1500","2.7034764289855957","2.7034764289855957","2.7034764289855957"
"1600","2.6429271697998047","2.6429271697998047","2.6429271697998047"
"1700","1.7930196523666382","1.7930196523666382","1.7930196523666382"
"1800","2.425877809524536","2.425877809524536","2.425877809524536"
"1900","1.9781264066696167","1.9781264066696167","1.9781264066696167"
"2000","2.1670238971710205","2.1670238971710205","2.1670238971710205"
"2100","1.7000892162322998","1.7000892162322998","1.7000892162322998"
"2200","2.077343702316284","2.077343702316284","2.077343702316284"
"2300","2.292799711227417","2.292799711227417","2.292799711227417"
"2400","1.3983848094940186","1.3983848094940186","1.3983848094940186"
"2500","1.8043824434280396","1.8043824434280396","1.8043824434280396"
"2600","1.817294716835022","1.817294716835022","1.817294716835022"
"2700","1.741402268409729","1.741402268409729","1.741402268409729"
"2800","2.545839548110962","2.545839548110962","2.545839548110962"
"2900","1.6666789054870605","1.6666789054870605","1.6666789054870605"
"3000","1.4606609344482422","1.4606609344482422","1.4606609344482422"
"3100","1.8221582174301147","1.8221582174301147","1.8221582174301147"
"3200","1.7285226583480835","1.7285226583480835","1.7285226583480835"
"3300","1.5109556913375854","1.5109556913375854","1.5109556913375854"
"3400","1.8212676048278809","1.8212676048278809","1.8212676048278809"
"3500","1.2178492546081543","1.2178492546081543","1.2178492546081543"
"3600","1.7194925546646118","1.7194925546646118","1.7194925546646118"
"3700","1.2822786569595337","1.2822786569595337","1.2822786569595337"
"3800","1.438663363456726","1.438663363456726","1.438663363456726"
"3900","1.2672147750854492","1.2672147750854492","1.2672147750854492"
"4000","1.374747633934021","1.374747633934021","1.374747633934021"
"4100","1.2926045656204224","1.2926045656204224","1.2926045656204224"
"4200","1.331286072731018","1.331286072731018","1.331286072731018"
"4300","1.175276756286621","1.175276756286621","1.175276756286621"
"4400","1.255300760269165","1.255300760269165","1.255300760269165"
"4500","1.2821086645126343","1.2821086645126343","1.2821086645126343"
"4600","1.1375898122787476","1.1375898122787476","1.1375898122787476"
"4700","1.0258255004882812","1.0258255004882812","1.0258255004882812"
"4800","0.9580957293510437","0.9580957293510437","0.9580957293510437"
"4900","1.123445987701416","1.123445987701416","1.123445987701416"
"5000","1.005688190460205","1.005688190460205","1.005688190460205"
"5100","1.0685185194015503","1.0685185194015503","1.0685185194015503"
