"Step","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss__MIN","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss__MAX"
"10","5.05078125","5.05078125","5.05078125"
"20","4.3046875","4.3046875","4.3046875"
"30","4.1640625","4.1640625","4.1640625"
"40","4.0390625","4.0390625","4.0390625"
"50","3.9365234375","3.9365234375","3.9365234375"
"60","3.828125","3.828125","3.828125"
"70","3.7470703125","3.7470703125","3.7470703125"
"80","3.7109375","3.7109375","3.7109375"
"90","3.6572265625","3.6572265625","3.6572265625"
"100","3.6201171875","3.6201171875","3.6201171875"
"110","3.572265625","3.572265625","3.572265625"
"120","3.5322265625","3.5322265625","3.5322265625"
"130","3.4970703125","3.4970703125","3.4970703125"
"140","3.4716796875","3.4716796875","3.4716796875"
"150","3.4375","3.4375","3.4375"
"160","3.390625","3.390625","3.390625"
"170","3.359375","3.359375","3.359375"
"180","3.3369140625","3.3369140625","3.3369140625"
"190","3.31640625","3.31640625","3.31640625"
"200","3.275390625","3.275390625","3.275390625"
"210","3.228515625","3.228515625","3.228515625"
"220","3.2080078125","3.2080078125","3.2080078125"
"230","3.1904296875","3.1904296875","3.1904296875"
"240","3.16015625","3.16015625","3.16015625"
"250","3.1181640625","3.1181640625","3.1181640625"
"260","3.109375","3.109375","3.109375"
"270","3.087890625","3.087890625","3.087890625"
"280","3.041015625","3.041015625","3.041015625"
"290","3.046875","3.046875","3.046875"
"300","3.015625","3.015625","3.015625"
"310","3.0126953125","3.0126953125","3.0126953125"
"320","3.0068359375","3.0068359375","3.0068359375"
"330","2.966796875","2.966796875","2.966796875"
"340","2.9736328125","2.9736328125","2.9736328125"
"350","2.9560546875","2.9560546875","2.9560546875"
"360","2.921875","2.921875","2.921875"
"370","2.90234375","2.90234375","2.90234375"
"380","2.916015625","2.916015625","2.916015625"
"390","2.9130859375","2.9130859375","2.9130859375"
"400","2.8896484375","2.8896484375","2.8896484375"
"410","2.85546875","2.85546875","2.85546875"
"420","2.8525390625","2.8525390625","2.8525390625"
"430","2.8359375","2.8359375","2.8359375"
"440","2.8046875","2.8046875","2.8046875"
"450","2.78515625","2.78515625","2.78515625"
"460","2.7998046875","2.7998046875","2.7998046875"
"470","2.791015625","2.791015625","2.791015625"
"480","2.78125","2.78125","2.78125"
"490","2.7685546875","2.7685546875","2.7685546875"
"500","2.755859375","2.755859375","2.755859375"
"510","2.7451171875","2.7451171875","2.7451171875"
"520","2.7177734375","2.7177734375","2.7177734375"
"530","2.720703125","2.720703125","2.720703125"
"540","2.708984375","2.708984375","2.708984375"
"550","2.6884765625","2.6884765625","2.6884765625"
"560","2.677734375","2.677734375","2.677734375"
"570","2.69921875","2.69921875","2.69921875"
"580","2.6630859375","2.6630859375","2.6630859375"
"590","2.6728515625","2.6728515625","2.6728515625"
"600","2.6376953125","2.6376953125","2.6376953125"
"610","2.650390625","2.650390625","2.650390625"
"620","2.630859375","2.630859375","2.630859375"
