"Step","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss__MIN","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss__MAX"
"10","4.587890625","4.587890625","4.587890625"
"20","4.373046875","4.373046875","4.373046875"
"30","4.28125","4.28125","4.28125"
"40","4.18359375","4.18359375","4.18359375"
"50","4.1015625","4.1015625","4.1015625"
"60","4.0078125","4.0078125","4.0078125"
"70","3.904296875","3.904296875","3.904296875"
"80","3.84765625","3.84765625","3.84765625"
"90","3.783203125","3.783203125","3.783203125"
"100","3.75","3.75","3.75"
"110","3.6953125","3.6953125","3.6953125"
"120","3.6494140625","3.6494140625","3.6494140625"
"130","3.6064453125","3.6064453125","3.6064453125"
"140","3.578125","3.578125","3.578125"
"150","3.5439453125","3.5439453125","3.5439453125"
"160","3.5009765625","3.5009765625","3.5009765625"
"170","3.46875","3.46875","3.46875"
"180","3.451171875","3.451171875","3.451171875"
"190","3.4423828125","3.4423828125","3.4423828125"
"200","3.4150390625","3.4150390625","3.4150390625"
"210","3.380859375","3.380859375","3.380859375"
"220","3.373046875","3.373046875","3.373046875"
"230","3.365234375","3.365234375","3.365234375"
"240","3.3369140625","3.3369140625","3.3369140625"
"250","3.3017578125","3.3017578125","3.3017578125"
"260","3.29296875","3.29296875","3.29296875"
"270","3.2685546875","3.2685546875","3.2685546875"
"280","3.224609375","3.224609375","3.224609375"
"290","3.224609375","3.224609375","3.224609375"
"300","3.1962890625","3.1962890625","3.1962890625"
"310","3.1845703125","3.1845703125","3.1845703125"
"320","3.18359375","3.18359375","3.18359375"
"330","3.140625","3.140625","3.140625"
"340","3.1494140625","3.1494140625","3.1494140625"
"350","3.1328125","3.1328125","3.1328125"
"360","3.1044921875","3.1044921875","3.1044921875"
"370","3.08203125","3.08203125","3.08203125"
"380","3.0908203125","3.0908203125","3.0908203125"
"390","3.091796875","3.091796875","3.091796875"
"400","3.068359375","3.068359375","3.068359375"
"410","3.0361328125","3.0361328125","3.0361328125"
"420","3.0361328125","3.0361328125","3.0361328125"
"430","3.0224609375","3.0224609375","3.0224609375"
"440","2.998046875","2.998046875","2.998046875"
"450","2.9755859375","2.9755859375","2.9755859375"
"460","2.9931640625","2.9931640625","2.9931640625"
"470","2.986328125","2.986328125","2.986328125"
"480","2.9697265625","2.9697265625","2.9697265625"
"490","2.96875","2.96875","2.96875"
"500","2.9580078125","2.9580078125","2.9580078125"
"510","2.9462890625","2.9462890625","2.9462890625"
"520","2.923828125","2.923828125","2.923828125"
"530","2.9296875","2.9296875","2.9296875"
"540","2.92578125","2.92578125","2.92578125"
"550","2.9013671875","2.9013671875","2.9013671875"
"560","2.89453125","2.89453125","2.89453125"
"570","2.921875","2.921875","2.921875"
"580","2.88671875","2.88671875","2.88671875"
"590","2.8974609375","2.8974609375","2.8974609375"
"600","2.859375","2.859375","2.859375"
"610","2.8828125","2.8828125","2.8828125"
"620","2.8603515625","2.8603515625","2.8603515625"
"630","2.837890625","2.837890625","2.837890625"
"640","2.8505859375","2.8505859375","2.8505859375"
"650","2.814453125","2.814453125","2.814453125"
