"Step","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss__MIN","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss__MAX"
"10","5.0546875","5.0546875","5.0546875"
"20","4.341796875","4.341796875","4.341796875"
"30","4.228515625","4.228515625","4.228515625"
"40","4.125","4.125","4.125"
"50","4.0390625","4.0390625","4.0390625"
"60","3.9521484375","3.9521484375","3.9521484375"
"70","3.8544921875","3.8544921875","3.8544921875"
"80","3.78125","3.78125","3.78125"
"90","3.7109375","3.7109375","3.7109375"
"100","3.68359375","3.68359375","3.68359375"
"110","3.6318359375","3.6318359375","3.6318359375"
"120","3.58984375","3.58984375","3.58984375"
"130","3.548828125","3.548828125","3.548828125"
"140","3.5166015625","3.5166015625","3.5166015625"
"150","3.486328125","3.486328125","3.486328125"
"160","3.4365234375","3.4365234375","3.4365234375"
"170","3.4072265625","3.4072265625","3.4072265625"
"180","3.3857421875","3.3857421875","3.3857421875"
"190","3.373046875","3.373046875","3.373046875"
"200","3.33984375","3.33984375","3.33984375"
"210","3.2998046875","3.2998046875","3.2998046875"
"220","3.287109375","3.287109375","3.287109375"
"230","3.275390625","3.275390625","3.275390625"
"240","3.25","3.25","3.25"
"250","3.2080078125","3.2080078125","3.2080078125"
"260","3.2021484375","3.2021484375","3.2021484375"
"270","3.17578125","3.17578125","3.17578125"
"280","3.1318359375","3.1318359375","3.1318359375"
"290","3.1337890625","3.1337890625","3.1337890625"
"300","3.10546875","3.10546875","3.10546875"
"310","3.0966796875","3.0966796875","3.0966796875"
"320","3.08984375","3.08984375","3.08984375"
"330","3.056640625","3.056640625","3.056640625"
"340","3.0625","3.0625","3.0625"
"350","3.044921875","3.044921875","3.044921875"
"360","3.01953125","3.01953125","3.01953125"
"370","2.998046875","2.998046875","2.998046875"
"380","3.0029296875","3.0029296875","3.0029296875"
"390","3.0048828125","3.0048828125","3.0048828125"
"400","2.982421875","2.982421875","2.982421875"
"410","2.951171875","2.951171875","2.951171875"
"420","2.9501953125","2.9501953125","2.9501953125"
"430","2.9365234375","2.9365234375","2.9365234375"
"440","2.9130859375","2.9130859375","2.9130859375"
"450","2.88671875","2.88671875","2.88671875"
"460","2.912109375","2.912109375","2.912109375"
"470","2.9013671875","2.9013671875","2.9013671875"
"480","2.8837890625","2.8837890625","2.8837890625"
"490","2.8857421875","2.8857421875","2.8857421875"
"500","2.87109375","2.87109375","2.87109375"
"510","2.8642578125","2.8642578125","2.8642578125"
"520","2.83203125","2.83203125","2.83203125"
"530","2.8427734375","2.8427734375","2.8427734375"
"540","2.8369140625","2.8369140625","2.8369140625"
"550","2.8095703125","2.8095703125","2.8095703125"
"560","2.806640625","2.806640625","2.806640625"
"570","2.830078125","2.830078125","2.830078125"
