"Step","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss__MIN","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss__MAX"
"10","5.431640625","5.431640625","5.431640625"
"20","4.376953125","4.376953125","4.376953125"
"30","4.21484375","4.21484375","4.21484375"
"40","4.107421875","4.107421875","4.107421875"
"50","4.0078125","4.0078125","4.0078125"
"60","3.9150390625","3.9150390625","3.9150390625"
"70","3.810546875","3.810546875","3.810546875"
"80","3.7470703125","3.7470703125","3.7470703125"
"90","3.681640625","3.681640625","3.681640625"
"100","3.6474609375","3.6474609375","3.6474609375"
"110","3.5986328125","3.5986328125","3.5986328125"
"120","3.5595703125","3.5595703125","3.5595703125"
"130","3.52734375","3.52734375","3.52734375"
"140","3.5068359375","3.5068359375","3.5068359375"
"150","3.48046875","3.48046875","3.48046875"
"160","3.4384765625","3.4384765625","3.4384765625"
"170","3.416015625","3.416015625","3.416015625"
"180","3.3994140625","3.3994140625","3.3994140625"
"190","3.3935546875","3.3935546875","3.3935546875"
"200","3.3662109375","3.3662109375","3.3662109375"
"210","3.333984375","3.333984375","3.333984375"
"220","3.3291015625","3.3291015625","3.3291015625"
"230","3.3232421875","3.3232421875","3.3232421875"
"240","3.298828125","3.298828125","3.298828125"
"250","3.2607421875","3.2607421875","3.2607421875"
"260","3.25","3.25","3.25"
"270","3.220703125","3.220703125","3.220703125"
"280","3.169921875","3.169921875","3.169921875"
"290","3.1640625","3.1640625","3.1640625"
"300","3.126953125","3.126953125","3.126953125"
"310","3.115234375","3.115234375","3.115234375"
"320","3.103515625","3.103515625","3.103515625"
"330","3.05859375","3.05859375","3.05859375"
"340","3.0625","3.0625","3.0625"
"350","3.0458984375","3.0458984375","3.0458984375"
"360","3.0146484375","3.0146484375","3.0146484375"
"370","2.9931640625","2.9931640625","2.9931640625"
"380","2.9990234375","2.9990234375","2.9990234375"
"390","2.998046875","2.998046875","2.998046875"
"400","2.9765625","2.9765625","2.9765625"
"410","2.9453125","2.9453125","2.9453125"
"420","2.94140625","2.94140625","2.94140625"
"430","2.927734375","2.927734375","2.927734375"
"440","2.9013671875","2.9013671875","2.9013671875"
"450","2.87890625","2.87890625","2.87890625"
"460","2.8935546875","2.8935546875","2.8935546875"
"470","2.888671875","2.888671875","2.888671875"
"480","2.8720703125","2.8720703125","2.8720703125"
"490","2.8623046875","2.8623046875","2.8623046875"
"500","2.8544921875","2.8544921875","2.8544921875"
"510","2.83984375","2.83984375","2.83984375"
"520","2.80859375","2.80859375","2.80859375"
"530","2.8193359375","2.8193359375","2.8193359375"
"540","2.8046875","2.8046875","2.8046875"
"550","2.7783203125","2.7783203125","2.7783203125"
"560","2.7734375","2.7734375","2.7734375"
"570","2.7998046875","2.7998046875","2.7998046875"
"580","2.75390625","2.75390625","2.75390625"
"590","2.7607421875","2.7607421875","2.7607421875"
"600","2.73046875","2.73046875","2.73046875"
"610","2.7421875","2.7421875","2.7421875"
"620","2.7236328125","2.7236328125","2.7236328125"
"630","2.7021484375","2.7021484375","2.7021484375"
"640","2.703125","2.703125","2.703125"
"650","2.673828125","2.673828125","2.673828125"
"660","2.6767578125","2.6767578125","2.6767578125"
"670","2.677734375","2.677734375","2.677734375"
"680","2.6796875","2.6796875","2.6796875"
"690","2.6484375","2.6484375","2.6484375"
"700","2.6328125","2.6328125","2.6328125"
"710","2.6220703125","2.6220703125","2.6220703125"
"720","2.6083984375","2.6083984375","2.6083984375"
"730","2.6201171875","2.6201171875","2.6201171875"
"740","2.607421875","2.607421875","2.607421875"
"750","2.59765625","2.59765625","2.59765625"
"760","2.60546875","2.60546875","2.60546875"
"770","2.578125","2.578125","2.578125"
"780","2.5830078125","2.5830078125","2.5830078125"
"790","2.56640625","2.56640625","2.56640625"
"800","2.576171875","2.576171875","2.576171875"
"810","2.552734375","2.552734375","2.552734375"
"820","2.5537109375","2.5537109375","2.5537109375"
"830","2.5244140625","2.5244140625","2.5244140625"
"840","2.5361328125","2.5361328125","2.5361328125"
"850","2.5185546875","2.5185546875","2.5185546875"
"860","2.548828125","2.548828125","2.548828125"
"870","2.5126953125","2.5126953125","2.5126953125"
"880","2.5302734375","2.5302734375","2.5302734375"
"890","2.517578125","2.517578125","2.517578125"
"900","2.4921875","2.4921875","2.4921875"
"910","2.498046875","2.498046875","2.498046875"
"920","2.4951171875","2.4951171875","2.4951171875"
"930","2.482421875","2.482421875","2.482421875"
"940","2.470703125","2.470703125","2.470703125"
"950","2.4619140625","2.4619140625","2.4619140625"
"960","2.4912109375","2.4912109375","2.4912109375"
"970","2.447265625","2.447265625","2.447265625"
"980","2.4560546875","2.4560546875","2.4560546875"
"990","2.453125","2.453125","2.453125"
"1000","2.4462890625","2.4462890625","2.4462890625"
"1010","2.443359375","2.443359375","2.443359375"
"1020","2.421875","2.421875","2.421875"
"1030","2.4267578125","2.4267578125","2.4267578125"
"1040","2.419921875","2.419921875","2.419921875"
"1050","2.412109375","2.412109375","2.412109375"
"1060","2.4189453125","2.4189453125","2.4189453125"
"1070","2.4013671875","2.4013671875","2.4013671875"
"1080","2.3984375","2.3984375","2.3984375"
"1090","2.3935546875","2.3935546875","2.3935546875"
"1100","2.3935546875","2.3935546875","2.3935546875"
"1110","2.384765625","2.384765625","2.384765625"
"1120","2.375","2.375","2.375"
"1130","2.3828125","2.3828125","2.3828125"
"1140","2.3623046875","2.3623046875","2.3623046875"
"1150","2.3818359375","2.3818359375","2.3818359375"
"1160","2.3828125","2.3828125","2.3828125"
"1170","2.36328125","2.36328125","2.36328125"
"1180","2.353515625","2.353515625","2.353515625"
"1190","2.345703125","2.345703125","2.345703125"
"1200","2.3310546875","2.3310546875","2.3310546875"
"1210","2.345703125","2.345703125","2.345703125"
"1220","2.345703125","2.345703125","2.345703125"
"1230","2.341796875","2.341796875","2.341796875"
"1240","2.3076171875","2.3076171875","2.3076171875"
"1250","2.34375","2.34375","2.34375"
"1260","2.322265625","2.322265625","2.322265625"
"1270","2.3251953125","2.3251953125","2.3251953125"
"1280","2.3251953125","2.3251953125","2.3251953125"
"1290","2.2939453125","2.2939453125","2.2939453125"
"1300","2.294921875","2.294921875","2.294921875"
"1310","2.2822265625","2.2822265625","2.2822265625"
"1320","2.2900390625","2.2900390625","2.2900390625"
"1330","2.3076171875","2.3076171875","2.3076171875"
"1340","2.310546875","2.310546875","2.310546875"
"1350","2.2783203125","2.2783203125","2.2783203125"
"1360","2.296875","2.296875","2.296875"
"1370","2.2626953125","2.2626953125","2.2626953125"
"1380","2.29296875","2.29296875","2.29296875"
"1390","2.24609375","2.24609375","2.24609375"
"1400","2.2568359375","2.2568359375","2.2568359375"
"1410","2.2509765625","2.2509765625","2.2509765625"
"1420","2.2568359375","2.2568359375","2.2568359375"
"1430","2.2373046875","2.2373046875","2.2373046875"
"1440","2.2490234375","2.2490234375","2.2490234375"
"1450","2.232421875","2.232421875","2.232421875"
