"Step","fp6_e3m2_fp6_e3m2 - train/CrossEntropyLoss","fp6_e3m2_fp6_e3m2 - train/CrossEntropyLoss__MIN","fp6_e3m2_fp6_e3m2 - train/CrossEntropyLoss__MAX"
"10","4.87109375","4.87109375","4.87109375"
"20","4.44921875","4.44921875","4.44921875"
"30","4.3515625","4.3515625","4.3515625"
"40","4.2734375","4.2734375","4.2734375"
"50","4.203125","4.203125","4.203125"
"60","4.125","4.125","4.125"
"70","4.0302734375","4.0302734375","4.0302734375"
"80","3.9658203125","3.9658203125","3.9658203125"
"90","3.8896484375","3.8896484375","3.8896484375"
"100","3.845703125","3.845703125","3.845703125"
"110","3.783203125","3.783203125","3.783203125"
"120","3.7236328125","3.7236328125","3.7236328125"
"130","3.6728515625","3.6728515625","3.6728515625"
"140","3.642578125","3.642578125","3.642578125"
"150","3.607421875","3.607421875","3.607421875"
"160","3.5546875","3.5546875","3.5546875"
"170","3.5185546875","3.5185546875","3.5185546875"
"180","3.498046875","3.498046875","3.498046875"
"190","3.486328125","3.486328125","3.486328125"
"200","3.458984375","3.458984375","3.458984375"
"210","3.4208984375","3.4208984375","3.4208984375"
"220","3.41015625","3.41015625","3.41015625"
"230","3.3994140625","3.3994140625","3.3994140625"
"240","3.3740234375","3.3740234375","3.3740234375"
"250","3.3359375","3.3359375","3.3359375"
"260","3.33203125","3.33203125","3.33203125"
"270","3.302734375","3.302734375","3.302734375"
"280","3.26171875","3.26171875","3.26171875"
"290","3.263671875","3.263671875","3.263671875"
"300","3.2275390625","3.2275390625","3.2275390625"
"310","3.21875","3.21875","3.21875"
"320","3.2138671875","3.2138671875","3.2138671875"
"330","3.169921875","3.169921875","3.169921875"
"340","3.1728515625","3.1728515625","3.1728515625"
"350","3.1552734375","3.1552734375","3.1552734375"
"360","3.1240234375","3.1240234375","3.1240234375"
"370","3.099609375","3.099609375","3.099609375"
"380","3.1083984375","3.1083984375","3.1083984375"
"390","3.109375","3.109375","3.109375"
"400","3.080078125","3.080078125","3.080078125"
"410","3.044921875","3.044921875","3.044921875"
"420","3.0458984375","3.0458984375","3.0458984375"
"430","3.029296875","3.029296875","3.029296875"
"440","3.005859375","3.005859375","3.005859375"
"450","2.9853515625","2.9853515625","2.9853515625"
"460","2.99609375","2.99609375","2.99609375"
"470","2.986328125","2.986328125","2.986328125"
"480","2.974609375","2.974609375","2.974609375"
"490","2.96484375","2.96484375","2.96484375"
"500","2.955078125","2.955078125","2.955078125"
"510","2.9453125","2.9453125","2.9453125"
"520","2.916015625","2.916015625","2.916015625"
"530","2.9267578125","2.9267578125","2.9267578125"
"540","2.9189453125","2.9189453125","2.9189453125"
"550","2.890625","2.890625","2.890625"
"560","2.884765625","2.884765625","2.884765625"
"570","2.90625","2.90625","2.90625"
"580","2.875","2.875","2.875"
"590","2.8779296875","2.8779296875","2.8779296875"
"600","2.849609375","2.849609375","2.849609375"
"610","2.8671875","2.8671875","2.8671875"
"620","2.845703125","2.845703125","2.845703125"
"630","2.826171875","2.826171875","2.826171875"
"640","2.8330078125","2.8330078125","2.8330078125"
"650","2.80078125","2.80078125","2.80078125"
"660","2.8076171875","2.8076171875","2.8076171875"
"670","2.8095703125","2.8095703125","2.8095703125"
"680","2.8125","2.8125","2.8125"
"690","2.78125","2.78125","2.78125"
"700","2.7705078125","2.7705078125","2.7705078125"
"710","2.7705078125","2.7705078125","2.7705078125"
"720","2.75","2.75","2.75"
"730","2.76953125","2.76953125","2.76953125"
"740","2.751953125","2.751953125","2.751953125"
"750","2.7431640625","2.7431640625","2.7431640625"
"760","2.7509765625","2.7509765625","2.7509765625"
"770","2.7236328125","2.7236328125","2.7236328125"
"780","2.7275390625","2.7275390625","2.7275390625"
"790","2.71484375","2.71484375","2.71484375"
"800","2.7177734375","2.7177734375","2.7177734375"
"810","2.7041015625","2.7041015625","2.7041015625"
"820","2.705078125","2.705078125","2.705078125"
"830","2.673828125","2.673828125","2.673828125"
"840","2.6884765625","2.6884765625","2.6884765625"
"850","2.6767578125","2.6767578125","2.6767578125"
"860","2.6953125","2.6953125","2.6953125"
"870","2.6708984375","2.6708984375","2.6708984375"
"880","2.6796875","2.6796875","2.6796875"
