"Step","fp6_e3m2_fp6_e3m2 - train/CrossEntropyLoss","fp6_e3m2_fp6_e3m2 - train/CrossEntropyLoss__MIN","fp6_e3m2_fp6_e3m2 - train/CrossEntropyLoss__MAX"
"10","5.259765625","5.259765625","5.259765625"
"20","4.564453125","4.564453125","4.564453125"
"30","4.4375","4.4375","4.4375"
"40","4.3515625","4.3515625","4.3515625"
"50","4.28125","4.28125","4.28125"
"60","4.20703125","4.20703125","4.20703125"
"70","4.115234375","4.115234375","4.115234375"
"80","4.0537109375","4.0537109375","4.0537109375"
"90","3.96875","3.96875","3.96875"
"100","3.921875","3.921875","3.921875"
"110","3.8447265625","3.8447265625","3.8447265625"
"120","3.783203125","3.783203125","3.783203125"
"130","3.7236328125","3.7236328125","3.7236328125"
"140","3.6884765625","3.6884765625","3.6884765625"
"150","3.6484375","3.6484375","3.6484375"
"160","3.595703125","3.595703125","3.595703125"
"170","3.5556640625","3.5556640625","3.5556640625"
"180","3.537109375","3.537109375","3.537109375"
"190","3.5185546875","3.5185546875","3.5185546875"
"200","3.4873046875","3.4873046875","3.4873046875"
"210","3.4541015625","3.4541015625","3.4541015625"
"220","3.439453125","3.439453125","3.439453125"
"230","3.43359375","3.43359375","3.43359375"
"240","3.40625","3.40625","3.40625"
"250","3.365234375","3.365234375","3.365234375"
"260","3.359375","3.359375","3.359375"
"270","3.3349609375","3.3349609375","3.3349609375"
"280","3.2900390625","3.2900390625","3.2900390625"
"290","3.2919921875","3.2919921875","3.2919921875"
"300","3.259765625","3.259765625","3.259765625"
"310","3.2509765625","3.2509765625","3.2509765625"
"320","3.2451171875","3.2451171875","3.2451171875"
"330","3.2041015625","3.2041015625","3.2041015625"
"340","3.208984375","3.208984375","3.208984375"
"350","3.1865234375","3.1865234375","3.1865234375"
"360","3.162109375","3.162109375","3.162109375"
"370","3.13671875","3.13671875","3.13671875"
"380","3.1455078125","3.1455078125","3.1455078125"
"390","3.1435546875","3.1435546875","3.1435546875"
"400","3.1181640625","3.1181640625","3.1181640625"
"410","3.0849609375","3.0849609375","3.0849609375"
"420","3.0830078125","3.0830078125","3.0830078125"
"430","3.0673828125","3.0673828125","3.0673828125"
"440","3.041015625","3.041015625","3.041015625"
"450","3.0205078125","3.0205078125","3.0205078125"
"460","3.04296875","3.04296875","3.04296875"
"470","3.03125","3.03125","3.03125"
"480","3.0107421875","3.0107421875","3.0107421875"
"490","3.0087890625","3.0087890625","3.0087890625"
"500","3.001953125","3.001953125","3.001953125"
"510","2.9931640625","2.9931640625","2.9931640625"
"520","2.9658203125","2.9658203125","2.9658203125"
"530","2.97265625","2.97265625","2.97265625"
"540","2.9638671875","2.9638671875","2.9638671875"
"550","2.939453125","2.939453125","2.939453125"
"560","2.927734375","2.927734375","2.927734375"
"570","2.9560546875","2.9560546875","2.9560546875"
"580","2.919921875","2.919921875","2.919921875"
"590","2.9306640625","2.9306640625","2.9306640625"
"600","2.896484375","2.896484375","2.896484375"
"610","2.9150390625","2.9150390625","2.9150390625"
"620","2.8935546875","2.8935546875","2.8935546875"
"630","2.876953125","2.876953125","2.876953125"
"640","2.8828125","2.8828125","2.8828125"
"650","2.8544921875","2.8544921875","2.8544921875"
"660","2.8623046875","2.8623046875","2.8623046875"
"670","2.865234375","2.865234375","2.865234375"
"680","2.865234375","2.865234375","2.865234375"
"690","2.8408203125","2.8408203125","2.8408203125"
"700","2.828125","2.828125","2.828125"
"710","2.81640625","2.81640625","2.81640625"
"720","2.8046875","2.8046875","2.8046875"
"730","2.82421875","2.82421875","2.82421875"
"740","2.810546875","2.810546875","2.810546875"
"750","2.802734375","2.802734375","2.802734375"
"760","2.806640625","2.806640625","2.806640625"
"770","2.7841796875","2.7841796875","2.7841796875"
"780","2.78125","2.78125","2.78125"
"790","2.775390625","2.775390625","2.775390625"
"800","2.7783203125","2.7783203125","2.7783203125"
"810","2.7578125","2.7578125","2.7578125"
"820","2.7626953125","2.7626953125","2.7626953125"
"830","2.732421875","2.732421875","2.732421875"
"840","2.74609375","2.74609375","2.74609375"
"850","2.736328125","2.736328125","2.736328125"
"860","2.7509765625","2.7509765625","2.7509765625"
"870","2.7314453125","2.7314453125","2.7314453125"
"880","2.74609375","2.74609375","2.74609375"
"890","2.7275390625","2.7275390625","2.7275390625"
"900","2.7197265625","2.7197265625","2.7197265625"
"910","2.7197265625","2.7197265625","2.7197265625"
"920","2.7119140625","2.7119140625","2.7119140625"
"930","2.703125","2.703125","2.703125"
"940","2.7001953125","2.7001953125","2.7001953125"
"950","2.681640625","2.681640625","2.681640625"
"960","2.71484375","2.71484375","2.71484375"
"970","2.669921875","2.669921875","2.669921875"
