"Step","fp6_e3m2_fp6_e3m2 - train/CrossEntropyLoss","fp6_e3m2_fp6_e3m2 - train/CrossEntropyLoss__MIN","fp6_e3m2_fp6_e3m2 - train/CrossEntropyLoss__MAX"
"10","5.712890625","5.712890625","5.712890625"
"20","4.818359375","4.818359375","4.818359375"
"30","4.52734375","4.52734375","4.52734375"
"40","4.4453125","4.4453125","4.4453125"
"50","4.3828125","4.3828125","4.3828125"
"60","4.318359375","4.318359375","4.318359375"
"70","4.2421875","4.2421875","4.2421875"
"80","4.177734375","4.177734375","4.177734375"
"90","4.109375","4.109375","4.109375"
"100","4.060546875","4.060546875","4.060546875"
"110","3.994140625","3.994140625","3.994140625"
"120","3.9404296875","3.9404296875","3.9404296875"
"130","3.87890625","3.87890625","3.87890625"
"140","3.841796875","3.841796875","3.841796875"
"150","3.7978515625","3.7978515625","3.7978515625"
"160","3.7392578125","3.7392578125","3.7392578125"
"170","3.689453125","3.689453125","3.689453125"
"180","3.6650390625","3.6650390625","3.6650390625"
"190","3.6396484375","3.6396484375","3.6396484375"
"200","3.6103515625","3.6103515625","3.6103515625"
"210","3.5732421875","3.5732421875","3.5732421875"
"220","3.5595703125","3.5595703125","3.5595703125"
"230","3.5478515625","3.5478515625","3.5478515625"
"240","3.521484375","3.521484375","3.521484375"
"250","3.48828125","3.48828125","3.48828125"
"260","3.484375","3.484375","3.484375"
"270","3.4619140625","3.4619140625","3.4619140625"
"280","3.42578125","3.42578125","3.42578125"
"290","3.4306640625","3.4306640625","3.4306640625"
"300","3.400390625","3.400390625","3.400390625"
"310","3.392578125","3.392578125","3.392578125"
"320","3.3896484375","3.3896484375","3.3896484375"
"330","3.34765625","3.34765625","3.34765625"
"340","3.3544921875","3.3544921875","3.3544921875"
"350","3.3359375","3.3359375","3.3359375"
"360","3.3115234375","3.3115234375","3.3115234375"
"370","3.2861328125","3.2861328125","3.2861328125"
"380","3.2978515625","3.2978515625","3.2978515625"
"390","3.291015625","3.291015625","3.291015625"
"400","3.2685546875","3.2685546875","3.2685546875"
"410","3.232421875","3.232421875","3.232421875"
"420","3.228515625","3.228515625","3.228515625"
"430","3.212890625","3.212890625","3.212890625"
"440","3.1865234375","3.1865234375","3.1865234375"
"450","3.166015625","3.166015625","3.166015625"
"460","3.1787109375","3.1787109375","3.1787109375"
"470","3.169921875","3.169921875","3.169921875"
"480","3.154296875","3.154296875","3.154296875"
"490","3.1416015625","3.1416015625","3.1416015625"
"500","3.1396484375","3.1396484375","3.1396484375"
"510","3.12890625","3.12890625","3.12890625"
"520","3.1025390625","3.1025390625","3.1025390625"
"530","3.107421875","3.107421875","3.107421875"
"540","3.103515625","3.103515625","3.103515625"
"550","3.0751953125","3.0751953125","3.0751953125"
"560","3.0673828125","3.0673828125","3.0673828125"
"570","3.08984375","3.08984375","3.08984375"
"580","3.052734375","3.052734375","3.052734375"
"590","3.0654296875","3.0654296875","3.0654296875"
"600","3.037109375","3.037109375","3.037109375"
"610","3.0546875","3.0546875","3.0546875"
"620","3.0263671875","3.0263671875","3.0263671875"
"630","3.0107421875","3.0107421875","3.0107421875"
"640","3.0205078125","3.0205078125","3.0205078125"
"650","2.984375","2.984375","2.984375"
"660","2.99609375","2.99609375","2.99609375"
"670","2.9990234375","2.9990234375","2.9990234375"
"680","3.001953125","3.001953125","3.001953125"
"690","2.9794921875","2.9794921875","2.9794921875"
"700","2.9697265625","2.9697265625","2.9697265625"
"710","2.9560546875","2.9560546875","2.9560546875"
"720","2.9453125","2.9453125","2.9453125"
"730","2.9638671875","2.9638671875","2.9638671875"
"740","2.94921875","2.94921875","2.94921875"
"750","2.9462890625","2.9462890625","2.9462890625"
"760","2.951171875","2.951171875","2.951171875"
"770","2.9267578125","2.9267578125","2.9267578125"
"780","2.921875","2.921875","2.921875"
"790","2.912109375","2.912109375","2.912109375"
"800","2.916015625","2.916015625","2.916015625"
"810","2.8955078125","2.8955078125","2.8955078125"
"820","2.908203125","2.908203125","2.908203125"
"830","2.8740234375","2.8740234375","2.8740234375"
"840","2.8955078125","2.8955078125","2.8955078125"
"850","2.8828125","2.8828125","2.8828125"
"860","2.89453125","2.89453125","2.89453125"
"870","2.875","2.875","2.875"
"880","2.884765625","2.884765625","2.884765625"
"890","2.8681640625","2.8681640625","2.8681640625"
"900","2.859375","2.859375","2.859375"
"910","2.8583984375","2.8583984375","2.8583984375"
"920","2.8564453125","2.8564453125","2.8564453125"
"930","2.8427734375","2.8427734375","2.8427734375"
"940","2.841796875","2.841796875","2.841796875"
"950","2.8291015625","2.8291015625","2.8291015625"
"960","2.8515625","2.8515625","2.8515625"
